Null (reference),Null (threshold),Full,Null (reference)_ave,Null (threshold)_ave,Full_ave
10903.0,10591.0,25598.0,10.9,10.6,25.6
10441.0,10263.0,25846.0,10.5,10.3,25.9
9568.0,10357.0,24903.0,9.6,10.4,24.9
10461.0,9983.0,25416.0,10.5,10.0,25.4
10653.0,10097.0,25117.0,10.7,10.1,25.1
11466.0,10615.0,25184.0,11.5,10.6,25.2
10504.0,10332.0,24728.0,10.5,10.3,24.8
10571.0,10335.0,25596.0,10.6,10.3,25.6
11608.0,10458.0,25870.0,11.6,10.5,25.9
10710.0,10415.0,24800.0,10.7,10.4,24.8
10928.0,10546.0,24884.0,10.9,10.6,24.9
11020.0,10157.0,25089.0,11.0,10.2,25.1
11481.0,10292.0,25746.0,11.5,10.3,25.8
9828.0,10259.0,25439.0,9.8,10.3,25.5
10646.0,10346.0,25614.0,10.7,10.4,25.6
10629.0,10612.0,25377.0,10.6,10.6,25.4
11137.0,10620.0,24793.0,11.1,10.6,24.8
10756.0,10325.0,26114.0,10.8,10.3,26.1
10980.0,10345.0,25175.0,11.0,10.4,25.2
11461.0,10461.0,25729.0,11.5,10.5,25.8
11379.0,10219.0,24743.0,11.4,10.2,24.8
11191.0,10769.0,25026.0,11.2,10.8,25.1
10412.0,10530.0,25267.0,10.4,10.5,25.3
10481.0,10486.0,25583.0,10.5,10.5,25.6
10461.0,10056.0,26206.0,10.5,10.1,26.2
11269.0,10298.0,25965.0,11.3,10.3,26.0
10519.0,10762.0,24763.0,10.5,10.8,24.8
10792.0,10468.0,26213.0,10.8,10.5,26.2
9909.0,10776.0,25397.0,9.9,10.8,25.4
11111.0,10176.0,25460.0,11.1,10.2,25.5
11054.0,10466.0,26015.0,11.1,10.5,26.0
10704.0,10489.0,24955.0,10.7,10.5,25.0
11115.0,10824.0,25451.0,11.1,10.8,25.5
10835.0,10534.0,25837.0,10.8,10.5,25.9
11801.0,10191.0,26156.0,11.8,10.2,26.2
10800.0,10808.0,25508.0,10.8,10.8,25.5
10691.0,10236.0,26041.0,10.7,10.2,26.1
11218.0,10570.0,25929.0,11.2,10.6,26.0
10982.0,10408.0,25213.0,11.0,10.4,25.2
10997.0,10306.0,25364.0,11.0,10.3,25.4
11054.0,10658.0,25253.0,11.1,10.7,25.3
10885.0,10653.0,25705.0,10.9,10.7,25.7
12012.0,10455.0,25063.0,12.0,10.5,25.1
10563.0,10319.0,26569.0,10.6,10.3,26.6
10432.0,10544.0,25945.0,10.4,10.6,26.0
10297.0,10412.0,25959.0,10.3,10.4,26.0
10288.0,10594.0,25910.0,10.3,10.6,25.9
10467.0,10343.0,24837.0,10.5,10.4,24.9
10823.0,9975.0,25362.0,10.8,10.0,25.4
11456.0,10730.0,25683.0,11.5,10.7,25.7
10268.0,10872.0,25266.0,10.3,10.9,25.3
10850.0,10709.0,25749.0,10.9,10.7,25.8
9836.0,10422.0,26034.0,9.8,10.4,26.1
10603.0,10654.0,25480.0,10.6,10.7,25.5
9726.0,10629.0,25407.0,9.7,10.6,25.4
9981.0,10771.0,25074.0,10.0,10.8,25.1
10564.0,10549.0,25548.0,10.6,10.6,25.6
11096.0,10411.0,25092.0,11.1,10.4,25.1
10686.0,10608.0,25272.0,10.7,10.6,25.3
10363.0,10324.0,25779.0,10.4,10.3,25.8
10740.0,10762.0,25706.0,10.8,10.8,25.7
10776.0,10655.0,25483.0,10.8,10.7,25.5
11398.0,10889.0,25155.0,11.4,10.9,25.2
10981.0,10489.0,25829.0,11.0,10.5,25.9
12409.0,10750.0,25920.0,12.4,10.8,25.9
10419.0,10736.0,26452.0,10.4,10.7,26.5
11295.0,10580.0,25802.0,11.3,10.6,25.8
11560.0,10321.0,25398.0,11.6,10.3,25.4
10229.0,10488.0,26057.0,10.2,10.5,26.1
10373.0,10452.0,25424.0,10.4,10.5,25.4
11654.0,10738.0,24837.0,11.7,10.7,24.9
11370.0,10650.0,26597.0,11.4,10.7,26.6
10780.0,10869.0,26763.0,10.8,10.9,26.8
10282.0,10619.0,26589.0,10.3,10.6,26.6
11400.0,10705.0,25112.0,11.4,10.7,25.1
11210.0,10344.0,25924.0,11.2,10.4,25.9
10471.0,11080.0,26243.0,10.5,11.1,26.3
11293.0,10586.0,26356.0,11.3,10.6,26.4
10239.0,10940.0,24886.0,10.2,11.0,24.9
12035.0,10425.0,25885.0,12.0,10.4,25.9
11084.0,10423.0,26102.0,11.1,10.4,26.1
11084.0,10911.0,26118.0,11.1,10.9,26.1
11143.0,10866.0,26648.0,11.2,10.9,26.7
10622.0,10809.0,26320.0,10.6,10.8,26.3
11353.0,10707.0,25659.0,11.4,10.7,25.7
11857.0,11216.0,25593.0,11.9,11.2,25.6
11160.0,11062.0,25549.0,11.2,11.1,25.6
11159.0,10759.0,25626.0,11.2,10.8,25.7
10640.0,10837.0,26657.0,10.7,10.8,26.7
10549.0,11045.0,25835.0,10.6,11.1,25.9
10897.0,10548.0,25403.0,10.9,10.6,25.4
10636.0,10871.0,26463.0,10.6,10.9,26.5
11758.0,10835.0,26130.0,11.8,10.8,26.2
11485.0,10801.0,25783.0,11.5,10.8,25.8
11388.0,10796.0,25565.0,11.4,10.8,25.6
10268.0,11131.0,26453.0,10.3,11.1,26.5
11870.0,10849.0,25443.0,11.9,10.9,25.5
10541.0,10930.0,26537.0,10.6,10.9,26.6
10489.0,10908.0,25903.0,10.5,10.9,25.9
11167.0,10952.0,26176.0,11.2,11.0,26.2
10242.0,11014.0,26306.0,10.3,11.0,26.3
10813.0,10818.0,26017.0,10.8,10.8,26.0
11137.0,10914.0,25076.0,11.1,10.9,25.1
11168.0,10843.0,25779.0,11.2,10.9,25.8
11181.0,11230.0,26266.0,11.2,11.2,26.3
11366.0,11047.0,25676.0,11.4,11.1,25.7
11103.0,10849.0,27217.0,11.1,10.9,27.2
11719.0,10730.0,25714.0,11.7,10.7,25.7
11332.0,10890.0,26468.0,11.3,10.9,26.5
10622.0,10760.0,26576.0,10.6,10.8,26.6
10340.0,10728.0,26356.0,10.4,10.7,26.4
10317.0,10762.0,26168.0,10.3,10.8,26.2
11447.0,11081.0,26016.0,11.5,11.1,26.0
10812.0,10842.0,26766.0,10.8,10.9,26.8
10852.0,10586.0,26393.0,10.9,10.6,26.4
11998.0,10829.0,25914.0,12.0,10.8,25.9
10803.0,11001.0,26542.0,10.8,11.0,26.6
10752.0,11064.0,25276.0,10.8,11.1,25.3
10783.0,10858.0,25773.0,10.8,10.9,25.8
10711.0,10901.0,26803.0,10.7,10.9,26.8
11744.0,10895.0,26524.0,11.8,10.9,26.6
11400.0,10851.0,27851.0,11.4,10.9,27.9
11897.0,11081.0,25916.0,11.9,11.1,25.9
11370.0,10765.0,26527.0,11.4,10.8,26.6
11183.0,10764.0,26916.0,11.2,10.8,26.9
11014.0,11257.0,25883.0,11.0,11.3,25.9
11863.0,10860.0,26029.0,11.9,10.9,26.1
10807.0,11357.0,26914.0,10.8,11.4,26.9
10842.0,11289.0,26185.0,10.9,11.3,26.2
11808.0,11243.0,26472.0,11.8,11.3,26.5
11671.0,11046.0,26420.0,11.7,11.1,26.4
10939.0,10682.0,27155.0,10.9,10.7,27.2
11739.0,11093.0,25795.0,11.8,11.1,25.8
11212.0,10835.0,27026.0,11.2,10.8,27.1
11324.0,10798.0,25680.0,11.3,10.8,25.7
10973.0,10979.0,27281.0,11.0,11.0,27.3
11188.0,11038.0,26833.0,11.2,11.0,26.9
11005.0,11095.0,27178.0,11.0,11.1,27.2
11109.0,11167.0,26018.0,11.1,11.2,26.0
11166.0,10548.0,26282.0,11.2,10.6,26.3
10837.0,11015.0,26199.0,10.8,11.0,26.2
11371.0,10884.0,26976.0,11.4,10.9,27.0
11227.0,11068.0,26891.0,11.2,11.1,26.9
11731.0,11011.0,26451.0,11.7,11.0,26.5
11390.0,10859.0,26561.0,11.4,10.9,26.6
10987.0,10989.0,26454.0,11.0,11.0,26.5
11052.0,11351.0,26649.0,11.1,11.4,26.7
11010.0,11122.0,26515.0,11.0,11.1,26.5
11274.0,11453.0,26805.0,11.3,11.5,26.8
11172.0,11204.0,26913.0,11.2,11.2,26.9
12054.0,10992.0,26433.0,12.1,11.0,26.5
11730.0,11242.0,26368.0,11.7,11.3,26.4
10883.0,11235.0,27558.0,10.9,11.2,27.6
11754.0,10978.0,26892.0,11.8,11.0,26.9
11624.0,11431.0,26925.0,11.6,11.4,27.0
11500.0,10902.0,26828.0,11.5,10.9,26.9
10446.0,11189.0,26539.0,10.5,11.2,26.6
11130.0,11423.0,26973.0,11.1,11.4,27.0
10858.0,10839.0,26494.0,10.9,10.8,26.5
11692.0,11331.0,25704.0,11.7,11.3,25.7
11599.0,11343.0,27612.0,11.6,11.4,27.6
11638.0,11163.0,27079.0,11.6,11.2,27.1
11469.0,11136.0,25179.0,11.5,11.1,25.2
11835.0,11351.0,26894.0,11.8,11.4,26.9
10988.0,11130.0,26924.0,11.0,11.1,27.0
11220.0,11611.0,27893.0,11.2,11.6,27.9
11538.0,10948.0,27209.0,11.5,11.0,27.2
10945.0,11091.0,27110.0,11.0,11.1,27.1
11544.0,10904.0,26433.0,11.6,10.9,26.5
11880.0,11080.0,26913.0,11.9,11.1,26.9
11544.0,11326.0,27488.0,11.6,11.3,27.5
11289.0,11040.0,26853.0,11.3,11.1,26.9
11014.0,11043.0,26794.0,11.0,11.1,26.8
12840.0,11198.0,26288.0,12.9,11.2,26.3
11601.0,11578.0,26876.0,11.6,11.6,26.9
11426.0,11162.0,26797.0,11.4,11.2,26.8
11527.0,11501.0,26099.0,11.5,11.5,26.1
11731.0,11301.0,26867.0,11.7,11.3,26.9
11514.0,11051.0,27765.0,11.5,11.1,27.8
10904.0,11118.0,26886.0,10.9,11.1,26.9
11333.0,11103.0,26943.0,11.3,11.1,27.0
11198.0,11257.0,26874.0,11.2,11.3,26.9
11367.0,11056.0,27020.0,11.4,11.1,27.0
11179.0,11000.0,26899.0,11.2,11.0,26.9
10901.0,11276.0,26073.0,10.9,11.3,26.1
11065.0,11542.0,27800.0,11.1,11.6,27.8
11760.0,11097.0,26865.0,11.8,11.1,26.9
11451.0,11057.0,26726.0,11.5,11.1,26.8
11412.0,11388.0,26905.0,11.4,11.4,26.9
11650.0,11561.0,26939.0,11.7,11.6,27.0
11221.0,11239.0,27494.0,11.2,11.3,27.5
11493.0,11315.0,27414.0,11.5,11.3,27.4
11371.0,11239.0,27327.0,11.4,11.3,27.4
12562.0,11442.0,27375.0,12.6,11.5,27.4
11627.0,11160.0,27381.0,11.6,11.2,27.4
12600.0,10961.0,26541.0,12.6,11.0,26.6
10611.0,11227.0,26920.0,10.6,11.2,26.9
11084.0,11226.0,27080.0,11.1,11.2,27.1
11847.0,11311.0,27518.0,11.9,11.3,27.5
10936.0,11337.0,27084.0,10.9,11.3,27.1
11653.0,11088.0,27525.0,11.7,11.1,27.6
11383.0,11231.0,27767.0,11.4,11.2,27.8
11524.0,11028.0,27050.0,11.5,11.0,27.1
11736.0,11286.0,26293.0,11.7,11.3,26.3
11188.0,11400.0,26907.0,11.2,11.4,26.9
12209.0,11110.0,26437.0,12.2,11.1,26.5
11639.0,11660.0,27500.0,11.7,11.7,27.5
11685.0,11135.0,26223.0,11.7,11.1,26.2
10950.0,11385.0,26035.0,11.0,11.4,26.1
11560.0,11574.0,26799.0,11.6,11.6,26.8
12093.0,11411.0,27638.0,12.1,11.4,27.7
11725.0,11518.0,26711.0,11.7,11.5,26.7
11776.0,11633.0,27094.0,11.8,11.6,27.1
11101.0,11475.0,26420.0,11.1,11.5,26.4
12412.0,11461.0,26472.0,12.4,11.5,26.5
12004.0,11795.0,27417.0,12.0,11.8,27.4
11527.0,11446.0,26862.0,11.5,11.5,26.9
11412.0,11849.0,27171.0,11.4,11.9,27.2
11521.0,11405.0,27418.0,11.5,11.4,27.4
12788.0,11512.0,27374.0,12.8,11.5,27.4
11067.0,11392.0,27452.0,11.1,11.4,27.5
12513.0,11453.0,27611.0,12.5,11.5,27.6
11499.0,11812.0,27804.0,11.5,11.8,27.8
11521.0,11844.0,27356.0,11.5,11.9,27.4
11153.0,11556.0,27750.0,11.2,11.6,27.8
11539.0,11879.0,27703.0,11.6,11.9,27.7
11941.0,11464.0,27386.0,12.0,11.5,27.4
10949.0,11272.0,28334.0,11.0,11.3,28.4
11957.0,11572.0,28005.0,12.0,11.6,28.0
11200.0,11163.0,27524.0,11.2,11.2,27.6
11176.0,11535.0,27004.0,11.2,11.5,27.0
11342.0,11274.0,27799.0,11.4,11.3,27.8
11471.0,11226.0,27993.0,11.5,11.2,28.0
12505.0,11321.0,26523.0,12.5,11.3,26.5
12776.0,11565.0,26887.0,12.8,11.6,26.9
10985.0,11455.0,26732.0,11.0,11.5,26.8
12507.0,11734.0,27317.0,12.5,11.7,27.3
11218.0,11573.0,27361.0,11.2,11.6,27.4
12235.0,11448.0,27162.0,12.2,11.5,27.2
11807.0,11806.0,27825.0,11.8,11.8,27.9
11802.0,11376.0,28003.0,11.8,11.4,28.0
11135.0,11252.0,26478.0,11.1,11.3,26.5
11424.0,11095.0,26917.0,11.4,11.1,26.9
11542.0,11485.0,27285.0,11.6,11.5,27.3
12773.0,11652.0,26867.0,12.8,11.7,26.9
11722.0,11421.0,28108.0,11.7,11.4,28.1
12282.0,11840.0,26726.0,12.3,11.9,26.8
12238.0,11559.0,28368.0,12.3,11.6,28.4
11997.0,11419.0,27429.0,12.0,11.4,27.5
12350.0,11266.0,26752.0,12.4,11.3,26.8
10887.0,11404.0,28668.0,10.9,11.4,28.7
12212.0,11447.0,26014.0,12.2,11.5,26.0
12086.0,11602.0,26580.0,12.1,11.6,26.6
11312.0,11830.0,28244.0,11.3,11.8,28.3
11647.0,11843.0,28265.0,11.7,11.9,28.3
12155.0,11684.0,27931.0,12.2,11.7,28.0
11445.0,11469.0,27972.0,11.5,11.5,28.0
11603.0,11728.0,26843.0,11.6,11.7,26.9
11826.0,11882.0,28387.0,11.8,11.9,28.4
11340.0,11692.0,27327.0,11.4,11.7,27.4
11244.0,11940.0,27198.0,11.3,12.0,27.2
11629.0,11403.0,27072.0,11.6,11.4,27.1
11873.0,11554.0,27001.0,11.9,11.6,27.0
11253.0,11779.0,27962.0,11.3,11.8,28.0
11709.0,11334.0,28289.0,11.7,11.3,28.3
12068.0,11740.0,27606.0,12.1,11.8,27.6
12113.0,11186.0,26967.0,12.1,11.2,27.0
11603.0,11640.0,27065.0,11.6,11.7,27.1
11219.0,11680.0,28102.0,11.2,11.7,28.1
11331.0,11376.0,28155.0,11.3,11.4,28.2
11914.0,11604.0,27107.0,11.9,11.6,27.1
11871.0,11469.0,26931.0,11.9,11.5,27.0
11229.0,11638.0,27207.0,11.2,11.6,27.2
11538.0,11791.0,27503.0,11.5,11.8,27.5
11872.0,11134.0,28191.0,11.9,11.1,28.2
11755.0,11494.0,27661.0,11.8,11.5,27.7
12565.0,11740.0,27238.0,12.6,11.8,27.3
12028.0,11651.0,26987.0,12.0,11.7,27.0
12353.0,11320.0,28025.0,12.4,11.3,28.1
12043.0,11507.0,27670.0,12.1,11.5,27.7
11945.0,11627.0,27292.0,12.0,11.6,27.3
11434.0,11762.0,28573.0,11.4,11.8,28.6
12292.0,11999.0,27388.0,12.3,12.0,27.4
12330.0,11763.0,27617.0,12.3,11.8,27.6
11351.0,11468.0,26952.0,11.4,11.5,27.0
12028.0,11682.0,27715.0,12.0,11.7,27.7
11441.0,11754.0,27802.0,11.5,11.8,27.8
12537.0,11637.0,27613.0,12.5,11.6,27.6
11851.0,12070.0,26082.0,11.9,12.1,26.1
12757.0,11318.0,27686.0,12.8,11.3,27.7
11475.0,11550.0,27578.0,11.5,11.6,27.6
12069.0,11446.0,27635.0,12.1,11.5,27.7
11323.0,11749.0,28260.0,11.3,11.8,28.3
11966.0,11753.0,27228.0,12.0,11.8,27.3
12006.0,11763.0,27519.0,12.0,11.8,27.5
11286.0,11955.0,28292.0,11.3,12.0,28.3
11762.0,11853.0,27365.0,11.8,11.9,27.4
11427.0,11798.0,28120.0,11.4,11.8,28.1
11380.0,12320.0,28292.0,11.4,12.3,28.3
11937.0,11621.0,27307.0,11.9,11.6,27.3
11910.0,11666.0,27369.0,11.9,11.7,27.4
12133.0,11728.0,27294.0,12.1,11.7,27.3
12000.0,11913.0,27791.0,12.0,11.9,27.8
11910.0,11889.0,27829.0,11.9,11.9,27.9
12547.0,11752.0,27257.0,12.6,11.8,27.3
12633.0,11565.0,27193.0,12.6,11.6,27.2
11539.0,11709.0,27632.0,11.6,11.7,27.7
11378.0,12103.0,28538.0,11.4,12.1,28.6
12189.0,11456.0,27292.0,12.2,11.5,27.3
12113.0,11711.0,28048.0,12.1,11.7,28.1
11899.0,11921.0,28412.0,11.9,11.9,28.4
12821.0,11961.0,27510.0,12.8,12.0,27.5
12212.0,12078.0,27566.0,12.2,12.1,27.6
12793.0,11344.0,28528.0,12.8,11.4,28.6
11984.0,12053.0,28142.0,12.0,12.1,28.2
12252.0,11667.0,27481.0,12.3,11.7,27.5
13305.0,11466.0,27029.0,13.3,11.5,27.1
11890.0,11694.0,28086.0,11.9,11.7,28.1
11860.0,11498.0,28682.0,11.9,11.5,28.7
12493.0,11679.0,27318.0,12.5,11.7,27.3
12347.0,12071.0,28292.0,12.4,12.1,28.3
11580.0,11793.0,27105.0,11.6,11.8,27.1
11831.0,12044.0,28190.0,11.8,12.1,28.2
12423.0,11746.0,27090.0,12.4,11.8,27.1
11735.0,11746.0,27853.0,11.7,11.8,27.9
11801.0,11859.0,28421.0,11.8,11.9,28.4
11960.0,11459.0,27859.0,12.0,11.5,27.9
11413.0,11974.0,27142.0,11.4,12.0,27.2
12750.0,11762.0,28651.0,12.8,11.8,28.7
12685.0,12061.0,27515.0,12.7,12.1,27.5
12635.0,11532.0,28232.0,12.6,11.5,28.3
11859.0,11730.0,27304.0,11.9,11.7,27.3
11781.0,11621.0,27803.0,11.8,11.6,27.8
11629.0,11891.0,27800.0,11.6,11.9,27.8
12671.0,12127.0,27261.0,12.7,12.1,27.3
12162.0,11996.0,27166.0,12.2,12.0,27.2
12336.0,11591.0,26959.0,12.3,11.6,27.0
12681.0,11821.0,28525.0,12.7,11.8,28.6
12301.0,11898.0,27430.0,12.3,11.9,27.5
11791.0,11822.0,27729.0,11.8,11.8,27.8
12083.0,11687.0,26817.0,12.1,11.7,26.8
11178.0,11668.0,27931.0,11.2,11.7,28.0
12537.0,11745.0,27903.0,12.5,11.8,27.9
12546.0,12018.0,27207.0,12.6,12.0,27.2
12175.0,11772.0,27264.0,12.2,11.8,27.3
12486.0,11810.0,27690.0,12.5,11.8,27.7
11911.0,12194.0,27316.0,11.9,12.2,27.3
11992.0,11640.0,27776.0,12.0,11.7,27.8
12173.0,11861.0,27409.0,12.2,11.9,27.4
12158.0,12105.0,27685.0,12.2,12.1,27.7
11862.0,11737.0,28191.0,11.9,11.7,28.2
12961.0,11779.0,27474.0,13.0,11.8,27.5
11943.0,11848.0,27401.0,12.0,11.9,27.4
11402.0,12137.0,28736.0,11.4,12.1,28.8
11231.0,11680.0,27717.0,11.2,11.7,27.7
11554.0,12351.0,28178.0,11.6,12.4,28.2
11573.0,11849.0,27710.0,11.6,11.9,27.7
12333.0,12336.0,28357.0,12.3,12.3,28.4
11575.0,12054.0,27492.0,11.6,12.1,27.5
11376.0,12401.0,27945.0,11.4,12.4,28.0
13176.0,12342.0,27985.0,13.2,12.4,28.0
12889.0,12123.0,27178.0,12.9,12.1,27.2
12051.0,11936.0,27565.0,12.1,11.9,27.6
11779.0,12097.0,27740.0,11.8,12.1,27.8
12369.0,11949.0,28650.0,12.4,12.0,28.7
11119.0,11756.0,28760.0,11.1,11.8,28.8
12125.0,11809.0,28847.0,12.1,11.8,28.9
12282.0,11685.0,28253.0,12.3,11.7,28.3
12912.0,11911.0,28167.0,12.9,11.9,28.2
12323.0,12115.0,28612.0,12.3,12.1,28.6
13188.0,11672.0,27664.0,13.2,11.7,27.7
10888.0,11947.0,28004.0,10.9,12.0,28.0
11747.0,11749.0,28480.0,11.8,11.8,28.5
12608.0,12132.0,27334.0,12.6,12.1,27.4
12079.0,12105.0,27477.0,12.1,12.1,27.5
12643.0,12099.0,28127.0,12.7,12.1,28.2
11917.0,12172.0,27982.0,11.9,12.2,28.0
12171.0,12053.0,27768.0,12.2,12.1,27.8
12557.0,12099.0,28490.0,12.6,12.1,28.5
11636.0,11923.0,27995.0,11.6,11.9,28.0
11341.0,11848.0,28303.0,11.4,11.9,28.3
10722.0,11952.0,28235.0,10.7,12.0,28.3
11769.0,11874.0,28489.0,11.8,11.9,28.5
12335.0,11866.0,27186.0,12.3,11.9,27.2
12445.0,11946.0,27403.0,12.5,12.0,27.4
12608.0,11887.0,28890.0,12.6,11.9,28.9
12674.0,11918.0,28333.0,12.7,11.9,28.4
10688.0,11780.0,27949.0,10.7,11.8,28.0
11879.0,11796.0,27354.0,11.9,11.8,27.4
11540.0,11897.0,27922.0,11.6,11.9,27.9
11898.0,12089.0,27863.0,11.9,12.1,27.9
10723.0,11914.0,27344.0,10.7,11.9,27.4
11461.0,12159.0,26180.0,11.5,12.2,26.2
13002.0,11714.0,28997.0,13.0,11.7,29.0
12279.0,11953.0,28722.0,12.3,12.0,28.8
12032.0,11704.0,29115.0,12.0,11.7,29.1
11789.0,11856.0,27793.0,11.8,11.9,27.8
13252.0,12212.0,28104.0,13.3,12.2,28.1
13007.0,12484.0,27953.0,13.0,12.5,28.0
12605.0,11975.0,27976.0,12.6,12.0,28.0
12456.0,11902.0,28257.0,12.5,11.9,28.3
11633.0,11713.0,26974.0,11.6,11.7,27.0
11832.0,11974.0,27663.0,11.8,12.0,27.7
11590.0,12256.0,28669.0,11.6,12.3,28.7
12262.0,12057.0,28883.0,12.3,12.1,28.9
12263.0,11812.0,28579.0,12.3,11.8,28.6
11841.0,12270.0,28085.0,11.9,12.3,28.1
12548.0,12387.0,27895.0,12.6,12.4,27.9
12480.0,12300.0,28795.0,12.5,12.3,28.8
12512.0,11982.0,27828.0,12.5,12.0,27.9
12377.0,12297.0,27922.0,12.4,12.3,27.9
11467.0,12086.0,27641.0,11.5,12.1,27.7
13222.0,11922.0,27732.0,13.2,11.9,27.8
11684.0,12454.0,28441.0,11.7,12.5,28.5
12187.0,11439.0,28600.0,12.2,11.5,28.6
12230.0,12168.0,28133.0,12.2,12.2,28.2
12027.0,11880.0,28060.0,12.0,11.9,28.1
11765.0,12756.0,28057.0,11.8,12.8,28.1
12024.0,12231.0,27791.0,12.0,12.2,27.8
12885.0,11998.0,28356.0,12.9,12.0,28.4
12310.0,12164.0,28380.0,12.3,12.2,28.4
12450.0,11977.0,28362.0,12.5,12.0,28.4
11963.0,12015.0,27568.0,12.0,12.0,27.6
12252.0,11885.0,27543.0,12.3,11.9,27.6
11990.0,12066.0,27668.0,12.0,12.1,27.7
12942.0,11982.0,27041.0,13.0,12.0,27.1
12575.0,12064.0,28816.0,12.6,12.1,28.8
11741.0,12180.0,28310.0,11.8,12.2,28.3
12919.0,12324.0,29082.0,12.9,12.3,29.1
12436.0,12029.0,28419.0,12.4,12.0,28.4
11053.0,12114.0,28766.0,11.1,12.1,28.8
12370.0,12205.0,29152.0,12.4,12.2,29.2
11876.0,12595.0,27083.0,11.9,12.6,27.1
12527.0,11929.0,27614.0,12.5,11.9,27.6
12540.0,12101.0,29011.0,12.6,12.1,29.0
12640.0,11955.0,27445.0,12.7,12.0,27.5
11410.0,12335.0,28040.0,11.4,12.3,28.1
11885.0,12104.0,28395.0,11.9,12.1,28.4
12284.0,12406.0,27812.0,12.3,12.4,27.8
12016.0,11798.0,27578.0,12.0,11.8,27.6
12809.0,12145.0,28389.0,12.8,12.2,28.4
12750.0,11905.0,28543.0,12.8,11.9,28.6
11816.0,11969.0,28711.0,11.8,12.0,28.7
12380.0,12487.0,27929.0,12.4,12.5,28.0
12829.0,12176.0,28889.0,12.8,12.2,28.9
12493.0,12309.0,28195.0,12.5,12.3,28.2
12384.0,11869.0,28122.0,12.4,11.9,28.2
12251.0,12067.0,28000.0,12.3,12.1,28.0
12526.0,11957.0,27164.0,12.5,12.0,27.2
12275.0,12413.0,28601.0,12.3,12.4,28.6
12432.0,12086.0,27370.0,12.4,12.1,27.4
11260.0,11991.0,28345.0,11.3,12.0,28.4
12606.0,12192.0,28183.0,12.6,12.2,28.2
11507.0,11937.0,27890.0,11.5,11.9,27.9
12755.0,12043.0,28516.0,12.8,12.1,28.5
13001.0,12237.0,27623.0,13.0,12.2,27.7
12417.0,12188.0,27405.0,12.4,12.2,27.4
11803.0,12238.0,28373.0,11.8,12.3,28.4
13041.0,12337.0,27292.0,13.1,12.3,27.3
12394.0,12186.0,28640.0,12.4,12.2,28.7
12544.0,12425.0,27797.0,12.6,12.4,27.8
11605.0,12299.0,28260.0,11.6,12.3,28.3
12203.0,12056.0,28013.0,12.2,12.1,28.0
